/n15,/images/products/BrevilleSilverStyle4SliceIlluminatedToaster.jpg,Electronics,???, Breville Silver Style 4 Slice Illuminated Toaster,"Illuminating toasting status indicator lights. 
Variable width. 
Self centring. 
Coolwall. 
Variable browning control. 
Hi lift. 
Cancel/frozen/reheat facility. 
Mid cycle cancel. 
Removable crumb tray. 
Non slip feet. 
Cord storage. 
",27.99,5%,1.4,29.39
/n16,/images/products/CookworksSignaturePaniniPress.jpg,Electronics,???, Cookworks Signature Panini Press,"Makes caf? style toasted ciabatta and panini bread sandwiches.  
Horizontal floating hinge for variable thickness sandwiches.  
Non-stick coating.  
Power on and ready indicator.  
Stands up for easy storage. 
Cord storage. 
",26.99,5%,1.35,28.34
/n17,/images/products/Disney2SliceToaster.jpg,Electronics,???, Disney 2 Slice Toaster,"Toasts Mickey Mouse's face onto each slice. 
Plays the Mickey Mouse March music when toast is ready. 
Variable browning control. 
Cancel function. 
Removable crumb tray. 
Non slip feet. 
Includes quick start guide
",24.99,5%,1.25,26.24
/n18,/images/products/no_image.gif,Electronics,???, Prestige Insignia 2 Slice Brushed Stainless Steel Toaster,"2 deep variable width toasting slots for thick and thin bread. 
Auto pop up. 
5 position electronic variable browning control with LED indicator. 
High-lift facility for easy removal small items. 
Defrost and mid cycle cancel button with illumination. 
Easy removable crumb tray. 
Non-slip feet. 
",24.99,5%,1.25,26.24
/n19,/images/products/RussellHobbsRetro4SliceStainlessSteelToaster.jpg,Electronics,???, Russell Hobbs Retro 4 Slice Stainless Steel Toaster,"Independent 2 slice operation. 
Variable width. 
Self centring. 
Variable browning control. 
Hi lift. 
Cancel/frozen/reheat facility. 
Mid cycle cancel. 
Removable crumb tray. 
Non slip feet. 
Cord storage
",24.99,5%,1.25,26.24
/n20,/images/products/Breville4SliceSilverSandwichToaster.jpg,Electronics,???,Breville 4 Slice Silver Sandwich Toaster,"4 deep fill plates make a fulfilling snack.
Cuts and seals to reduce leakage.
Easy clean, non stick plates.
Rapid heat-up and high temperature makes golden brown sandwiches.
Power on and ready to cook indicators.
Vertical storage and cord wrap to save on space.
Non slip feet for safety. 
Contemporary satin silver finish. 
",24.99,5%,1.25,26.24
/n21,/images/products/no_image.gif,Electronics,???, Kenwood Miro Pink 2 Slice Toaster,"Wide self centring deep slots. 
Variable browning control. 
Hi lift. 
Illuminated control panel for cancel/defrost/reheat facility. 
Slide out crumb tray. 
Cord storage
",24.99,5%,1.25,26.24
/n22,/images/products/MorphyRichards44407Style4SliceToaster.jpg,Electronics,???, Morphy Richards 44407 Style 4 Slice Toaster,"Deep variable width toasting chamber. 
Variable browning control. 
Hi-lift. 
Cancel/frozen/reheat facility. 
Bun warming rack. 
Removable crumb tray. 
Non slip feet. 
Cord storage
",24.99,5%,1.25,26.24
/n23,/images/products/CookworksSignature4SliceStainlessSteelToaster.jpg,Electronics,???, Cookworks Signature 4 Slice Stainless Steel Toaster,"Independent 2 slice operation. 
Variable width. 
Self centring. 
Variable browning control. 
Hi lift. 
Cancel/frozen/reheat facility. 
Mid cycle cancel. 
Removable crumb tray. 
Non slip feet. 
Cord storage. 
",24.99,5%,1.25,26.24
/n24,/images/products/no_image.gif,Electronics,???, Tefal Toast and Grill,"1300 watts. 
Compact size (no bigger than an average 4 slice toaster). 
2 trays (toast/grill rack and enamel plate). 
Booster button to toast or reheat in ultra fast time (cooks chilled Pizza in 5 minutes - 3 x faster than a conventional oven). 
Perfect toasting control thanks to two heating elements (top and below). 
Electronic 25 minute timer with variable browning control. 
On/off indicator. 
Easy to clean thanks to its hinged grill. 
Non slip feet. 
",24.99,5%,1.25,26.24
